,Artist,Title,Min,Median,Higher,Min_290523,Median_290523,Higher_290523,Min_070623,Median_070623,Higher_070623,Min_120623,Median_120623,Higher_120623,Min_190623,Median_190623,Higher_190623,Min_260623,Median_260623,Higher_260623
75,Pink Floyd,Delicate Sound Of Thunder,45.99,57.92,90.96,45.99,57.92,90.96,46.48,58.54,91.93,45.0,56.93,89.0,44.51,55.84,88.03,45.0,56.45,89.0
76,Pink Floyd,"Soundtrack From The Film ""More""",7.75,19.38,77.5,7.75,19.38,77.5,7.83,19.58,78.33,7.75,19.38,77.5,7.58,18.96,75.83,7.67,19.17,76.67
77,Pink Floyd,The Dark Side Of The Moon,9.5,24.99,54.0,9.5,24.99,54.0,9.6,25.26,54.58,9.5,24.99,54.0,9.3,24.45,52.84,9.4,24.72,53.42
78,Pino Daniele,Terra Mia,20.44,45.48,71.53,20.44,45.48,71.53,20.66,45.97,72.3,20.44,45.48,71.53,20.0,44.5,69.99,20.22,41.45,70.76
79,The Police,Every Breath You Take (The Singles),3.95,9.89,19.79,3.95,9.89,19.79,3.99,10.0,20.0,3.95,9.89,19.79,3.86,9.68,19.36,3.91,9.79,19.57
80,The Police,Ghost In The Machine,2.87,7.91,14.84,2.87,7.91,14.84,2.93,8.08,15.16,2.9,7.99,15.0,2.84,7.82,14.68,2.9,7.99,15.0
81,Premiata Forneria Marconi,Come Ti Va In Riva Alla Città,5.11,15.32,30.66,5.11,15.32,30.66,5.16,15.49,30.99,5.11,15.32,30.66,5.0,14.99,30.0,5.05,15.16,30.33
82,Premiata Forneria Marconi,L'Isola Di Niente,8.16,31.0,82.67,8.16,31.0,82.67,8.25,31.33,83.56,8.16,31.0,82.67,7.99,30.33,80.89,10.11,30.33,80.88
83,Premiata Forneria Marconi,Live In U.S.A.,11.87,17.81,27.9,11.87,17.81,27.9,12.0,18.0,28.2,11.87,17.81,27.9,11.62,17.43,27.3,11.74,17.62,27.6
84,Premiata Forneria Marconi,Per Un Amico,15.0,44.5,150.0,15.0,44.5,150.0,15.16,44.98,151.61,15.0,44.5,150.0,14.68,49.32,146.77,14.84,49.86,148.39
