Artist,Title,Collection,Min,Median,Higher,Min_230529,Median_230529,Higher_230529,Min_230607,Median_230607,Higher_230607,Min_230612,Median_230612,Higher_230612,Min_230619,Median_230619,Higher_230619,Min_230626,Median_230626,Higher_230626,Min_230703,Median_230703,Higher_230703,Min_230711,Median_230711,Higher_230711,Min_230717,Median_230717,Higher_230717
Mike Oldfield,Tubular Bells,2021 Second Hand,3.0,7.94,15.0,3.0,7.94,15.0,3.03,8.03,15.16,3.0,7.94,15.0,2.94,7.77,14.68,2.97,7.86,14.84,2.97,7.86,14.84,2.94,14.68,14.68,2.87,14.35,14.35
Mike Oldfield,Tubular Bells II,Original Collection,6.15,13.07,40.42,6.15,13.07,40.42,6.21,13.21,40.86,6.15,13.07,40.42,6.01,12.79,39.56,6.08,12.93,39.99,6.08,12.93,39.99,6.01,49.45,49.45,5.88,48.36,48.36
Mina (3),Cassiopea (Italian Songbook),Original Collection,10.23,26.76,37.2,10.23,26.76,37.2,10.34,27.05,37.6,10.23,26.76,37.2,10.01,26.19,36.4,10.12,26.48,36.8,10.12,26.48,36.8,10.01,36.4,36.4,9.79,35.6,35.6
Mungo Jerry,In The Summertime,45,0.49,1.73,3.96,0.49,1.73,3.96,0.5,1.75,4.0,0.49,1.73,3.96,0.49,1.71,3.91,0.49,1.73,3.96,0.49,1.73,3.96,0.49,3.91,3.91,0.48,3.83,3.83
New Trolls,Aldebaran,Father Collection,9.02,17.97,18.06,9.02,17.97,18.06,9.12,18.16,18.25,9.02,17.97,18.06,8.83,17.58,17.67,8.92,17.77,17.86,8.92,17.77,17.86,8.83,17.67,17.67,8.63,17.28,17.28
New Trolls,Concerto Grosso N° 2,Father Collection,9.79,18.6,58.74,9.79,18.6,58.74,9.89,18.8,59.37,9.79,18.6,58.74,9.58,18.2,57.47,9.68,18.4,58.11,10.0,18.5,60.0,9.89,59.35,59.35,9.67,58.04,58.04
New Trolls,Senza Orario Senza Bandiera,Father Collection,5.0,10.0,19.99,5.0,10.0,19.99,5.05,10.11,20.2,5.0,10.0,19.99,4.89,9.78,19.56,4.95,9.89,19.78,4.95,9.89,19.78,4.89,19.56,19.56,4.78,19.13,19.13
New Trolls,UT,Father Collection,13.26,50.54,126.36,13.26,50.54,126.36,13.41,51.09,127.72,13.26,50.54,126.36,12.98,49.46,123.64,13.12,50.0,125.0,13.12,50.0,125.0,12.98,123.64,123.64,12.69,120.92,120.92
The Notting Hillbillies,Missing... Presumed Having A Good Time,2022 Second Hand,2.02,7.14,15.16,2.02,7.14,15.16,2.04,7.21,15.33,2.02,7.14,15.16,1.98,6.98,14.84,2.0,7.06,15.0,2.0,7.06,15.0,1.98,14.84,14.84,1.9300000000000002,14.51,14.51
Orchestra «Pro Arte» Di Monaco* / Kurt Redel,"Il Canone Di Pachelbel, Il Largo Di Handel, L'Aria Di Bach (E Altre Loro Celebri Composizioni)",Father Collection,5.54,6.37,7.2,5.54,6.37,7.2,5.6,6.43,7.27,5.54,6.37,7.2,5.42,6.23,7.04,5.48,6.3,7.12,5.48,6.3,7.12,5.42,7.04,7.04,5.3,6.89,6.89
Pat Metheny Group,Still Life (Talking),2022 Second Hand,7.0,12.45,33.0,7.0,12.45,33.0,7.08,12.58,33.35,7.0,12.45,33.0,6.85,12.18,32.29,6.92,12.32,32.65,6.92,12.32,32.65,6.85,32.29,32.29,6.7,31.58,31.58
Pink Floyd,Animals,Father Collection,7.08,22.74,45.49,7.08,22.74,45.49,7.15,22.98,45.98,6.93,20.78,44.52,6.78,20.33,43.56,7.08,21.18,45.49,7.08,21.18,45.49,6.92,44.51,44.51,6.85,44.01,44.01
Pink Floyd,Delicate Sound Of Thunder,Original Collection,45.99,57.92,90.96,45.99,57.92,90.96,46.48,58.54,91.93,45.0,56.93,89.0,44.51,55.84,88.03,45.0,56.45,89.0,45.0,56.45,89.0,44.51,88.03,88.03,44.01,87.04,87.04
Pink Floyd,"Soundtrack From The Film ""More""",Father Collection,7.75,19.38,77.5,7.75,19.38,77.5,7.83,19.58,78.33,7.75,19.38,77.5,7.58,18.96,75.83,7.67,19.17,76.67,7.67,19.17,76.67,7.58,75.83,75.83,7.42,74.17,74.17
